airport,pagerank
BFI,0.0035036801823692953
BTR,0.003467164891665258
LIH,0.0034633071758304783
LBB,0.003458769780223701
PPV,0.0034577422041508943
ISP,0.0034313353867562396
DUT,0.003408995066159636
FYU,0.0034074683858475023
EEK,0.0032892653335659895
HDN,0.0032817436335915457
OOK,0.003256076081353404
NKI,0.0032477473751636446
KCC,0.0032340996764541373
WTL,0.0032189104184324317
SGF,0.0032005911856916305
EUG,0.0031435078643097915
TNK,0.003133159245671791
ASE,0.003104870686611447
SXP,0.003082851060834984
ALZ,0.0030732675966695933
AUK,0.0030588227678218145
HYL,0.0030406490359742573
PAE,0.0029648250810086246
HPB,0.002897797810968946
AKP,0.002894370222184873
KZB,0.0028922104006947696
TLH,0.0028648404656362986
MFR,0.0028501424238115748
ATT,0.002798082274997474
CAK,0.0027788831071437177
PTK,0.0027529743918468705
ROP,0.0027215485297704843
MLL,0.002711248929429192
KKH,0.002711229620692104
CHA,0.0027059559870940544
JAN,0.0027012038053526744
MAF,0.0026912648532963204
KUK,0.002690678015875137
KPB,0.002654466509788427
ROA,0.0026525908823247196
KPN,0.0026486419964411936
ORI,0.002635150276710502
SMK,0.0026310123039694037
NUI,0.002626705435334684
MTJ,0.0026218930512586303
HOM,0.0026172258874235686
VEE,0.002604879898786412
KKB,0.0025954025993348852
GUM,0.002579742445743055
NUP,0.0025390214568808698
RCE,0.002538673048934342
LCK,0.0025333526305934178
HHR,0.0025206851988794376
PKA,0.002510976304845057
KWK,0.0024499356261727338
WWP,0.0024495218887775816
VAK,0.0024404067468281406
NME,0.0024046404784857497
KPR,0.0024025275001703537
ATW,0.0024017558055802342
MFE,0.002373659663405592
CDB,0.002365223491294904
DRT,0.0023622359932643764
BTI,0.0023533303256501998
MLI,0.00233418862326519
SHH,0.0023280839182930812
GJT,0.0023250476724948677
PHO,0.002320963473360144
MCG,0.002315453164681483
NUL,0.0023078475820659033
GRB,0.0023066245421297024
RDM,0.0023037249338361443
ARC,0.0022916892275934766
AOS,0.0022746759204416143
WBB,0.0022642408815221776
HSL,0.0022617202131643556
AET,0.0022593162154574964
FTW,0.002240306415417757
TIQ,0.002238797954509115
FNT,0.0022207529471341705
CHO,0.002219030744018568
CYF,0.0021931973640722624
KAL,0.0021834161606217764
KTN,0.0021833395584028494
DGB,0.002176935551107576
SCE,0.0021631261539755376
DHB,0.002159976618540107
MSO,0.002155272203108483
UGI,0.0021525792612117687
TTN,0.002152519647809901
AMA,0.002132945686448959
MRY,0.0021289044497639327
SBD,0.0021271110793687673
SDM,0.0021238684543260482
KWP,0.0020972484296553277
KPY,0.0020972484296553277
FBS,0.002096328453510201
WNA,0.0020921600149903284
FCA,0.002076262948030297
SWF,0.002074498303654949
PIA,0.00207086721130147
RBY,0.0020676678745075727
ORV,0.0020587639966254956
KKI,0.0020401907192991835
APF,0.002019248909634142
KLN,0.002018838889011597
PSC,0.001999287805978206
MLB,0.001997973916012494
KKA,0.001981576592828349
WWT,0.0019815318909305528
SDP,0.0019775289704523566
KWN,0.00197567892636766
SKK,0.0019658683336678867
SNP,0.0019398965678638054
BTT,0.0019385330405729724
IDA,0.0019203618479270645
SYB,0.0019175453398836127
ACK,0.0019022875140348918
GTF,0.0019009517143535313
STS,0.0018791252635589526
KOZ,0.0018728485942684917
EGE,0.0018710807474833135
IAN,0.0018452853559371236
SVA,0.0018416804970118423
WHD,0.0018295447915601885
MTM,0.0018295447915601885
HYG,0.0018295447915601885
RDB,0.0018222046444510594
BLD,0.0018120776942962037
PSG,0.001806051014756346
MRI,0.0017964988725590418
RAP,0.0017903563766669952
PIP,0.0017847906152548964
ILM,0.0017839936816569971
TOG,0.0017828862336975505
SBP,0.0017811751583072587
PTH,0.0017804638529249402
GNV,0.0017280443794891816
FRG,0.0017193357651502951
GAM,0.0017174437005614241
HCR,0.001717112804484472
WMO,0.0017044799911019146
LFT,0.0017037822136690356
BQN,0.0017036754336838813
BIS,0.0016965256231214123
KLG,0.0016928698832007524
SUN,0.0016920606024706094
BGR,0.0016835415815657782
SHG,0.0016834379560784177
BMI,0.0016684130835349499
LAL,0.001667915272402178
GLV,0.001656212861039927
WBQ,0.0016212147613347664
WLK,0.0016179233618505604
CRP,0.001605643815271464
WTK,0.001599335729894126
KWT,0.0015982406325540904
SCF,0.001595185990941792
RIL,0.0015928135066193229
PPC,0.0015830284152852168
TVC,0.0015790640171276821
GYY,0.001577703438082712
BKC,0.001574068026979898
ACT,0.0015576175524182828
KNK,0.0015453174575445054
ELI,0.0015379084956930282
SHX,0.0015358452134463451
AGS,0.0015250340388559562
KVL,0.001520084553056292
ACV,0.0015164671403992199
BRO,0.0015157466771055527
SOV,0.001510956712531484
WAA,0.0015101385930043904
TLT,0.0015032288762161262
ILN,0.0014962730111955096
STX,0.0014947513505197368
HUS,0.0014753132691753656
LPS,0.0014738766969761548
PGA,0.0014605400179140593
TOL,0.001454035484309017
GST,0.0014451226244780442
TLA,0.001441187342377144
HSH,0.0014408151560957375
PGM,0.0014360118140637086
CPR,0.0014342832054260797
KGX,0.001423979134028141
KYU,0.0014225583728775136
CXF,0.0014197283665309567
CPX,0.0014182578071275042
PSM,0.0014176261177482638
GNU,0.0014124549220051724
ADS,0.001412101212424618
TN8,0.0014052777232514808
EVV,0.0014034429733206823
MCN,0.0013961718707797847
AKI,0.0013926527788644867
GCN,0.001372142733668336
KMO,0.0013557132875793455
DRO,0.001350729569997232
LNK,0.0013492914789781868
ANV,0.0013481923808416295
ABL,0.0013481006927458677
DAB,0.001343457671511825
CKD,0.0013374441834813702
KBC,0.0013361230738200452
MOT,0.0013317203830166548
LNY,0.0013300331914627914
DLH,0.0013299510345611714
RST,0.0013295466585845936
CSG,0.001326305261898859
MOB,0.0013220039152653789
AVP,0.0013177803871287578
KTS,0.0013022251655377924
YUM,0.001284036907678044
YAK,0.0012820197934317122
RDV,0.001271533181011543
USA,0.001271515611896242
PKB,0.0012624328681421079
SAF,0.0012623948929661487
CRW,0.0012582297404384016
AKK,0.0012573331625769862
BLV,0.0012525506519871785
SUS,0.0012446100948060041
LUK,0.001233205601423199
LAN,0.0012283015698407323
BLI,0.0012259495139283782
RIV,0.0012197913975257077
CDV,0.001219747803952825
KLL,0.001207773274608121
TRI,0.0011917953579915512
GFK,0.0011863820607272422
ESD,0.0011801225744747562
MYU,0.0011751050940329813
MNT,0.001174813133297614
BCT,0.001159340202001725
TAL,0.00115362290616685
PVU,0.0011525018104463728
ENA,0.0011522763325433557
IAG,0.0011476633703478604
HNH,0.0011468971108334132
NNL,0.0011466149153939098
KYK,0.001146480567080139
GRI,0.001145238130760373
CLD,0.0011446544783947521
PIZ,0.0011415489083152438
SLN,0.0011399720754785567
CIK,0.0011267466381901076
CPS,0.0011191766365334576
TYE,0.0011137491405177962
MGM,0.0011115990159818651
EGX,0.001110934192302974
KPV,0.001107293408638879
BFL,0.0011033381699980585
DRG,0.0010880649548111613
ELM,0.0010873936678806938
TSM,0.0010865481889213362
MVY,0.001085614663839317
OLH,0.0010819663342783753
06A,0.0010786907781544304
EHR,0.0010786907781544304
